h_a,minutes_since_last_goal_before_match,reliability_score,delay_score,time_last_3_matches,goals_last_3_matches,xG_last_3_matches,total_team_matches_before_match,team_pts_before_match,total_team_goals_scored_before_match,total_team_xg_before_match,total_opponent_matches_before_match,opponent_pts_before_match,total_opponent_goals_conceded_before_match,total_opponent_xga_before_match,opponent_clean_sheet_rate_before_match,scored,starting,league_Bundesliga,league_EPL,league_La_Liga,league_Ligue_1,league_Serie_A,ratio_min_goals_last_3_matches,ratio_min_xg_last_3_matches,ratio_pts_match,ratio_pts_match_opponent,ratio_goals_scored,ratio_xG,ratio_goals_conceded_opponent,ratio_xga_opponent
1,30.0,0.7174362677871489,-0.7678087757997428,270.0,1.0,0.7178928256034851,14,34,42,35.600566,14,12,25,29.142623,0.07142857142857142,0,1,0.0,0.0,1.0,0.0,0.0,270.0,376.1007080312146,2.4285714285714284,0.8571428571428571,3.0,2.5428975714285715,1.7857142857142858,2.0816159285714284
0,120.0,0.7174362677871489,0.05925721876787108,270.0,1.0,0.9171337783336639,16,37,48,43.164846,15,20,18,20.407395,0.26666666666666666,1,1,0.0,0.0,1.0,0.0,0.0,270.0,294.39543758879074,2.3125,1.3333333333333333,3.0,2.697802875,1.2,1.3604930000000002
1,39.0,0.7174362677871489,-0.6851021763429814,257.0,2.0,1.5855977237224579,17,38,50,44.706016,16,15,23,25.500379,0.25,0,1,0.0,0.0,1.0,0.0,0.0,128.5,162.08398647082387,2.235294117647059,0.9375,2.9411764705882355,2.6297656470588233,1.4375,1.5937736875
1,110.0,0.7174362677871489,-0.03263900285075269,238.0,1.0,2.17912957072258,18,38,50,46.871986,17,38,11,13.1129044,0.5294117647058824,0,1,0.0,0.0,1.0,0.0,0.0,238.0,109.21792040162225,2.111111111111111,2.235294117647059,2.7777777777777777,2.6039992222222224,0.6470588235294118,0.7713473176470588
0,200.0,0.7174362677871489,0.7944269917168613,238.0,1.0,2.785596191883087,19,38,51,50.246226,19,19,16,23.948468300000002,0.2631578947368421,0,1,0.0,0.0,1.0,0.0,0.0,238.0,85.43951944416966,2.0,1.0,2.6842105263157894,2.6445382105263158,0.8421052631578947,1.2604457
1,283.0,0.7174362677871489,1.5571656311514386,244.0,0.0,2.6706541776657104,20,39,52,53.750056,20,16,29,31.269723,0.2,1,0,0.0,0.0,1.0,0.0,0.0,300.0,91.36338281479357,1.95,0.8,2.6,2.6875028,1.45,1.56348615
1,25.0,0.7174362677871489,-0.8137568866090548,199.0,1.0,1.6586421728134155,21,42,59,58.108806,21,21,33,29.664638999999998,0.14285714285714285,1,1,0.0,0.0,1.0,0.0,0.0,199.0,119.97765597775258,2.0,1.0,2.8095238095238093,2.767086,1.5714285714285714,1.4126018571428571
0,30.0,0.7174362677871489,-0.7678087757997428,199.0,2.0,1.5559768676757812,22,45,60,59.294066,22,28,30,30.991910999999998,0.3181818181818182,1,1,0.0,0.0,1.0,0.0,0.0,99.5,127.8939321875996,2.0454545454545454,1.2727272727272727,2.727272727272727,2.695184818181818,1.3636363636363635,1.4087232272727273
1,69.0,0.7174362677871489,-0.40941351148711014,191.0,3.0,1.608351230621338,23,48,64,61.226056,23,35,24,31.873567,0.2608695652173913,1,1,0.0,0.0,1.0,0.0,0.0,63.666666666666664,118.75515519468526,2.0869565217391304,1.5217391304347827,2.782608695652174,2.662002434782609,1.0434782608695652,1.3858072608695653
0,56.0,0.7174362677871489,-0.528878599591321,248.0,3.0,2.48715341091156,24,51,65,64.053806,24,23,41,50.883486,0.125,0,1,0.0,0.0,1.0,0.0,0.0,82.66666666666667,99.71238561802514,2.125,0.9583333333333334,2.7083333333333335,2.6689085833333333,1.7083333333333333,2.1201452499999998
1,146.0,0.7174362677871489,0.2981873949762929,248.0,2.0,2.085974782705307,25,54,67,65.718666,25,34,23,29.675756,0.48,1,1,0.0,0.0,1.0,0.0,0.0,124.0,118.88926081760589,2.16,1.36,2.68,2.62874664,0.92,1.18703024
0,30.0,0.7174362677871489,-0.7678087757997428,263.0,2.0,2.6759009659290314,26,57,71,69.355636,27,56,18,28.1612134,0.48148148148148145,1,1,0.0,0.0,1.0,0.0,0.0,131.5,98.28465378526835,2.1923076923076925,2.074074074074074,2.730769230769231,2.667524461538462,0.6666666666666666,1.0430079037037037
1,19.0,0.7174362677871489,-0.868894619580229,270.0,2.0,2.8490979969501495,27,60,75,71.517786,27,33,39,41.778676,0.18518518518518517,1,0,0.0,0.0,1.0,0.0,0.0,135.0,94.76683507868971,2.2222222222222223,1.2222222222222223,2.7777777777777777,2.6488068888888887,1.4444444444444444,1.5473583703703702
1,14.0,0.7174362677871489,-0.9148427303895409,197.0,3.0,3.2003992795944214,28,63,78,76.154856,28,34,41,39.4680453,0.21428571428571427,1,1,0.0,0.0,1.0,0.0,0.0,65.66666666666667,61.5548195051979,2.25,1.2142857142857142,2.7857142857142856,2.7198162857142854,1.4642857142857142,1.4095730464285714
1,14.0,0.7174362677871489,-0.9148427303895409,197.0,4.0,3.637447953224182,29,66,82,78.908186,29,47,36,37.000783,0.2413793103448276,0,1,0.0,0.0,1.0,0.0,0.0,49.25,54.15885052743696,2.2758620689655173,1.6206896551724137,2.8275862068965516,2.720971931034483,1.2413793103448276,1.2758890689655171
0,104.0,0.7174362677871489,-0.08777673582192695,197.0,3.0,2.4589680954813957,30,67,83,80.376626,30,28,47,55.223622999999996,0.26666666666666666,0,1,0.0,0.0,1.0,0.0,0.0,65.66666666666667,80.114906883911,2.2333333333333334,0.9333333333333333,2.7666666666666666,2.679220866666667,1.5666666666666667,1.8407874333333332
1,174.0,0.7174362677871489,0.5554968155084394,250.0,2.0,1.90875693410635,31,70,84,81.477676,31,43,45,36.885094,0.1935483870967742,0,1,0.0,0.0,1.0,0.0,0.0,125.0,130.97529367564346,2.2580645161290325,1.3870967741935485,2.7096774193548385,2.628312129032258,1.4516129032258065,1.1898417419354839
