player_id,player,avg_delay,median_delay,std_delay,min_delay,max_delay,big_drought_freq,actual_delay,delay_score,reliability_score
4456,Chris Wood,153.02777777777777,106.0,149.96789868141994,5.0,645.0,0.1111111111111111,156,0.019819056267076095,0.5580030888921341
8187,Georges Mikautadze,147.31428571428572,88.0,134.82030991800366,6.0,536.0,0.17142857142857143,55,-0.6847209131208074,0.529467977529798
11974,Benjamin Sesko,149.8918918918919,104.0,138.85979815462625,2.0,674.0,0.16216216216216217,37,-0.812991905448271,0.5256958360253913
5556,Ademola Lookman,173.5483870967742,147.0,132.0322785558333,5.0,534.0,0.12903225806451613,44,-0.981187240830592,0.5082437463411102
8497,Cole Palmer,153.6888888888889,89.0,191.36493245560263,1.0,1181.0,0.08888888888888889,666,2.677142068492456,0.5074710564467186
8056,Arnaud Kalimuendo Muinga,182.59375,157.5,149.77183924438256,5.0,620.0,0.09375,459,1.8455154947318781,0.4918556783900506
8026,Raphinha,156.33333333333334,129.5,145.19582835408383,8.0,554.0,0.16666666666666666,3,-1.0560450329151667,0.4896113885195087
9948,Michael Olise,161.30555555555554,107.5,155.93127047231775,15.0,605.0,0.1388888888888889,61,-0.6432677374572064,0.48896480440892554
7490,Mason Greenwood,171.55555555555554,143.0,143.4402877911787,1.0,502.0,0.13333333333333333,124,-0.33153555592963696,0.4881278656788924
8865,Ollie Watkins,171.14583333333334,112.0,170.29736065511787,7.0,698.0,0.10416666666666667,18,-0.8992848318035921,0.4756970109596774
5735,Jean-Philippe Mateta,168.0,112.5,154.60885303208687,5.0,535.0,0.15,99,-0.44628750971770054,0.45809417782319506
7008,Vinícius Júnior,166.1951219512195,115.0,193.76173764603206,7.0,1050.0,0.0975609756097561,64,-0.5274267416919622,0.4555649981161669
6637,Hugo Duro,206.3939393939394,179.0,134.9268179870896,3.0,509.0,0.09090909090909091,57,-1.1072219861305415,0.4519037491678476
8137,Maximilian Beier,181.65625,134.5,155.53873272928598,3.0,705.0,0.125,304,0.7865806018423617,0.44625348962812245
10832,Loïs Openda,171.33333333333334,109.0,176.22954964099142,4.0,836.0,0.12121212121212122,222,0.28750380835610706,0.44367182978919895
8393,Omar Marmoush,154.36111111111111,104.5,145.03756218457494,5.0,624.0,0.2222222222222222,52,-0.7057558715779176,0.4284316689072749
7080,Matheus Cunha,201.22222222222223,153.5,163.55149667151343,19.0,767.0,0.08333333333333333,27,-1.065243826977264,0.4241902783789479
5992,Marcus Thuram,173.23076923076923,113.0,156.2338769009397,3.0,637.0,0.1794871794871795,70,-0.6607451039330148,0.4039184861973326
8636,Jonathan Christian David,164.1,113.5,178.48217608345988,3.0,731.0,0.175,237,0.40844414607490725,0.3958139052103493
956,Andrej Kramaric,177.43589743589743,106.0,189.08377353518466,2.0,743.0,0.1282051282051282,188,0.05586995841362772,0.3936882769564131
6160,Riccardo Orsolini,164.7941176470588,81.5,163.33619899992567,8.0,605.0,0.20588235294117646,13,-0.9293354356013139,0.3839660341984683
8272,João Pedro,195.4848484848485,138.0,181.02056533929394,9.0,717.0,0.12121212121212122,88,-0.5937714771986566,0.36342667318378125
6552,Bryan Mbeumo,208.94736842105263,167.0,173.97746784343065,7.0,899.0,0.10526315789473684,6,-1.166515244397586,0.3557345897282021
9002,Vedat Muriqi,194.5142857142857,137.0,184.8500777941524,4.0,724.0,0.14285714285714285,224,0.15951150595970726,0.3330924690422601
2234,Mikel Oyarzabal,210.875,169.5,199.37365633079438,17.0,971.0,0.09375,118,-0.46583386044696284,0.317659699879823
10846,Julián Álvarez,196.8,124.0,230.13292833899794,6.0,926.0,0.08571428571428572,143,-0.23377793168628946,0.3129712754916993
1776,Jarrod Bowen,223.47222222222223,174.5,177.77875272550125,2.0,818.0,0.1111111111111111,1250,5.774187083890643,0.29871195117450033
6055,Phil Foden,169.96875,94.0,219.2479056986082,4.0,870.0,0.1875,873,3.2065585655647286,0.2889471800994875
10408,Luis Díaz,205.4,153.0,196.89803273297997,2.0,724.0,0.17142857142857143,397,0.9730925054992052,0.2442743568048288
8824,Jude Bellingham,212.3548387096774,124.0,224.61471432760837,16.0,836.0,0.12903225806451613,99,-0.5046634591549752,0.22449910300418852
11363,Antoine Semenyo,246.64705882352942,202.5,192.86341254934348,12.0,720.0,0.17647058823529413,117,-0.6722221550982856,0.12340001586093802
